POSITION,BIB,COUNTRY,ATHLETE,MARK,REACTION TIME,GENDER,EVENT,MIXED
1,2571,JAM,Oblique SEVILLE,9.77 PB,0.157,M,100M,0
2,2574,JAM,Kishane THOMPSON,9.82,0.16,M,100M,0
3,3016,USA,Noah LYLES,9.89 SB,0.192,M,100M,0
4,2976,USA,Kenneth BEDNAREK,9.92,0.211,M,100M,0
5,2862,RSA,Gift LEOTLELA,9.95,0.184,M,100M,0
6,2746,NGR,Kayinsola AJAYI,10,0.177,M,100M,0
7,2873,RSA,Akani SIMBINE,10.04,0.162,M,100M,0
,2113,BOT,Letsile TEBOGO,DQ,-0.317,M,100M,0
1,1414,USA,Melissa JEFFERSON-WOODEN,10.61 CR,0.173,F,100M,0
2,1020,JAM,Tina CLAYTON,10.76 PB,0.203,F,100M,0
3,1106,LCA,Julien ALFRED,10.84,0.169,F,100M,0
4,1028,JAM,Shericka JACKSON,10.88 =SB,0.18,F,100M,0
5,1439,USA,Sha'Carri RICHARDSON,10.94 SB,0.178,F,100M,0
6,1024,JAM,Shelly-Ann FRASER-PRYCE,11.03,0.195,F,100M,0
7,690,CIV,Marie-Josée TA LOU-SMITH,11.04,0.202,F,100M,0
8,852,GBR,Dina ASHER-SMITH,11.08,0.186,F,100M,0
1,3016,USA,Noah LYLES,19.52,0.167,M,200M,0
2,2976,USA,Kenneth BEDNAREK,19.58 SB,0.179,M,200M,0
3,2560,JAM,Bryan LEVELL,19.64 PB,0.147,M,200M,0
4,2113,BOT,Letsile TEBOGO,19.65 SB,0.163,M,200M,0
5,2380,GBR,Zharnel HUGHES,19.78 SB,0.126,M,200M,0
6,2258,DOM,Alexander OGANDO,20.01,0.149,M,200M,0
7,3065,ZIM,Tapiwanashe MAKARAWU,20.12,0.136,M,200M,0
8,2853,RSA,Sinesipho DAMBILE,20.23,0.169,M,200M,0
1,1414,USA,Melissa JEFFERSON-WOODEN,21.68 WL,0.17,F,200M,0
2,862,GBR,Amy HUNT,22.14,0.163,F,200M,0
3,1028,JAM,Shericka JACKSON,22.18,0.169,F,200M,0
4,1377,USA,Anavia BATTLE,22.22,0.15,F,200M,0
5,852,GBR,Dina ASHER-SMITH,22.43,0.147,F,200M,0
6,1380,USA,Brittany BROWN,22.54,0.203,F,200M,0
7,690,CIV,Marie-Josée TA LOU-SMITH,22.62,0.166,F,200M,0
8,1423,USA,Mckenzie LONG,22.78,0.197,F,200M,0
,562,BAH,Anthonique STRACHAN,DQ,-0.339,F,200M,0
1,2106,BOT,Busang Collen KEBINATSHIPI,43.53 WL,0.134,M,400M,0
2,2932,TTO,Jereem RICHARDS,43.72 NR,0.145,M,400M,0
3,2108,BOT,Bayapo NDORI,44.20 SB,0.144,M,400M,0
4,2562,JAM,Rusheen MCDONALD,44.28,0.201,M,400M,0
5,2867,RSA,Zakithi NENE,44.55,0.139,M,400M,0
6,2606,JPN,Yuki Joseph NAKAJIMA,44.62,0.201,M,400M,0
7,3029,USA,Jacory PATTERSON,44.7,0.141,M,400M,0
8,2104,BOT,Lee Bhekempilo EPPIE,44.77,0.151,M,400M,0
1,1427,USA,Sydney MCLAUGHLIN-LEVRONE,47.78 CR,0.171,F,400M,0
2,741,DOM,Marileidy PAULINO,47.98 NR,0.183,F,400M,0
3,613,BRN,Salwa Eid NASER,48.19 SB,0.189,F,400M,0
4,1198,POL,Natalia BUKOWIECKA,49.27 SB,0.168,F,400M,0
5,851,GBR,Amber ANNING,49.36 SB,0.175,F,400M,0
6,711,CUB,Roxana GÓMEZ,49.48 NR,0.195,F,400M,0
7,1176,NOR,Henriette JÆGER,49.74,0.148,F,400M,0
8,1035,JAM,Nickisha PRYCE,49.97,0.158,F,400M,0
1,2662,KEN,Emmanuel WANYONYI,1:41.86 CR,,M,800M,0
2,2007,ALG,Djamel SEDJATI,1:41.90 SB,,M,800M,0
3,2147,CAN,Marco AROP,1:41.95 SB,,M,800M,0
4,2491,IRL,Cian MCPHILLIPS,1:42.15 NR,,M,800M,0
5,2271,ESP,Mohamed ATTAOUI,1:42.21 SB,,M,800M,0
6,2363,GBR,Max BURGIN,1:42.29 PB,,M,800M,0
7,2546,JAM,Navasky ANDERSON,1:42.76 NR,,M,800M,0
8,2107,BOT,Tshepiso MASALELA,1:42.77,,M,800M,0
1,1095,KEN,Lilian ODIRA,1:54.62 CR,,F,800M,0
2,863,GBR,Georgia HUNTER BELL,1:54.90 PB,,F,800M,0
3,861,GBR,Keely HODGKINSON,1:54.91,,F,800M,0
4,1093,KEN,Sarah MORAA,1:55.74 PB,,F,800M,0
5,1409,USA,Sage HURTA-KLECKER,1:55.89 PB,,F,800M,0
6,1309,SUI,Audrey WERRO,1:56.17,,F,800M,0
7,1092,KEN,Mary MORAA,1:57.10 SB,,F,800M,0
8,530,AUS,Jessica HULL,1:57.30,,F,800M,0
1,2820,POR,Isaac NADER,3:34.10,,M,1500M,0
2,2391,GBR,Jake WIGHTMAN,3:34.12,,M,1500M,0
3,2628,KEN,Reynold CHERUIYOT,3:34.25,,M,1500M,0
4,2629,KEN,Timothy CHERUIYOT,3:34.50,,M,1500M,0
5,2736,NED,Niels LAROS,3:34.52,,M,1500M,0
6,2408,GER,Robert FARKEN,3:35.15,,M,1500M,0
7,2530,ITA,Federico RIVA,3:35.33,,M,1500M,0
8,2273,ESP,Adrián BEN,3:35.38,,M,1500M,0
9,2876,RSA,Tshepo TSHITE,3:35.50,,M,1500M,0
10,2376,GBR,Neil GOURLEY,3:35.56,,M,1500M,0
11,2923,SWE,Samuel PIHLSTRÖM,3:35.74,,M,1500M,0
12,2480,IRL,Andrew COSCORAN,3:35.87,,M,1500M,0
13,3011,USA,Jonah KOECH,3:37.00,,M,1500M,0
14,2381,GBR,Josh KERR,4:11.23,,M,1500M,0
1,1088,KEN,Faith KIPYEGON,3:52.15,,F,1500M,0
2,1083,KEN,Dorcus EWOI,3:54.92 PB,,F,1500M,0
3,530,AUS,Jessica HULL,3:55.16,,F,1500M,0
4,1078,KEN,Nelly CHEPCHIRCHIR,3:55.25 PB,,F,1500M,0
5,1405,USA,Nikki HILTZ,3:57.08,,F,1500M,0
6,788,ETH,Freweyni HAILU,3:57.33,,F,1500M,0
7,1204,POL,Klaudia KAZIMIERSKA,3:57.95 PB,,F,1500M,0
8,839,FRA,Sarah MADELEINE,3:58.09 PB,,F,1500M,0
9,768,ESP,Marta PÉREZ,3:58.54 SB,,F,1500M,0
10,955,IRL,Sarah HEALY,3:59.14,,F,1500M,0
11,621,CAN,Gabriela DEBUES-STAFFORD,3:59.65 SB,,F,1500M,0
12,1229,POR,Salomé AFONSO,4:00.47,,F,1500M,0
13,1416,USA,Sinclaire JOHNSON,4:00.92,,F,1500M,0
14,923,GER,Nele WESSEL,4:10.31,,F,1500M,0
1,3001,USA,Cole HOCKER,12:58.30,,M,5000M,0
2,2086,BEL,Isaac KIMELI,12:58.78 SB,,M,5000M,0
3,2336,FRA,Jimmy GRESSIER,12:59.33,,M,5000M,0
4,2049,AUS,Ky ROBINSON,12:59.61,,M,5000M,0
5,2305,ETH,Biniam MEHARY,12:59.95,,M,5000M,0
6,3052,USA,Nico YOUNG,13:00.07,,M,5000M,0
7,2139,BRN,Birhanu BALEW,13:00.55,,M,5000M,0
8,2992,USA,Grant FISHER,13:00.79,,M,5000M,0
9,2351,FRA,Yann SCHRUB,13:01.34,,M,5000M,0
10,2760,NOR,Jakob INGEBRIGTSEN,13:02.00 SB,,M,5000M,0
11,2641,KEN,Mathew Kipchumba KIPSANG,13:03.67,,M,5000M,0
12,2732,NED,Mike FOPPEN,13:05.94,,M,5000M,0
13,2299,ETH,Hagos GEBRHIWET,13:07.02,,M,5000M,0
14,2327,FRA,Etienne DAGUINOS,13:11.72,,M,5000M,0
15,2967,URU,Valentin SOCA,13:34.35,,M,5000M,0
16,2383,GBR,George MILLS,13:44.88,,M,5000M,0
1,1076,KEN,Beatrice CHEBET,14:54.36,,F,5000M,0
2,1088,KEN,Faith KIPYEGON,14:55.07 SB,,F,5000M,0
3,972,ITA,Nadia BATTOCLETTI,14:55.42,,F,5000M,0
4,1407,USA,Shelby HOULIHAN,14:57.42,,F,5000M,0
5,796,ETH,Gudaf TSEGAY,14:57.82,,F,5000M,0
6,1374,USA,Josette ANDREWS,15:00.25,,F,5000M,0
7,757,ESP,Marta GARCÍA,15:01.02,,F,5000M,0
8,873,GBR,Hannah NUTTALL,15:01.25,,F,5000M,0
9,782,ETH,Fantaye BELAYNEH,15:02.05,,F,5000M,0
10,521,AUS,Rose DAVIES,15:03.61,,F,5000M,0
11,527,AUS,Linden HALL,15:04.03,,F,5000M,0
12,1067,JPN,Nozomi TANAKA,15:07.34,,F,5000M,0
13,785,ETH,Medina EISA,15:07.47,,F,5000M,0
14,1145,NED,Maureen KOSTER,15:07.58,,F,5000M,0
15,1094,KEN,Agnes Jebet NGETICH,15:13.78,,F,5000M,0
16,1356,UGA,Joy CHEPTOYEK,15:18.98,,F,5000M,0
1,2336,FRA,Jimmy GRESSIER,28:55.77 SB,,M,10000M,0
2,2304,ETH,Yomif KEJELCHA,28:55.83 SB,,M,10000M,0
3,2909,SWE,Andreas ALMGREN,28:56.02,,M,10000M,0
4,2638,KEN,Ishmael Rokitto KIPKURUI,28:56.48,,M,10000M,0
5,3052,USA,Nico YOUNG,28:56.62 SB,,M,10000M,0
6,2296,ETH,Selemon BAREGA,28:57.21,,M,10000M,0
7,2646,KEN,Edwin KURGAT,28:57.83,,M,10000M,0
8,2992,USA,Grant FISHER,28:57.85 SB,,M,10000M,0
9,2285,ESP,Thierry NDIKUMWENAYO,28:59.07 SB,,M,10000M,0
10,2880,RSA,Adriaan WILDSCHUTT,28:59.47,,M,10000M,0
11,2979,USA,Graham BLANKS,29:01.27,,M,10000M,0
12,2295,ETH,Berihu AREGAWI,29:02.02,,M,10000M,0
13,2950,UGA,Dan KIBET,29:03.22,,M,10000M,0
14,2901,SUI,Dominic Lokinyomo LOBALU,29:11.65 SB,,M,10000M,0
15,2074,BDI,Egide NTAKARUTIMANA,29:12.81,,M,10000M,0
16,2473,IND,Gulveer SINGH,29:13.33,,M,10000M,0
17,2761,NOR,Awet Nftalem KIBRAB,29:19.91,,M,10000M,0
18,2947,UGA,Oscar CHELIMO,29:26.66 PB,,M,10000M,0
19,2485,IRL,Efrem GIDEY,29:30.37,,M,10000M,0
20,2618,JPN,Mebuki SUZUKI,29:33.60,,M,10000M,0
21,2073,BDI,Célestin NDIKUMANA,29:38.86,,M,10000M,0
22,2595,JPN,Jun KASAI,29:41.84,,M,10000M,0
23,2403,GER,Davor Aaron BIENENFELD,29:51.41,,M,10000M,0
,2639,KEN,Benson KIPLANGAT,DNF,,M,10000M,0
,2146,CAN,Mohammed AHMED,DNF,,M,10000M,0
,2266,ERI,Merhawi MEBRAHTU,DNS,,M,10000M,0
,2177,CHI,Ignacio VELASQUEZ,DNS,,M,10000M,0
1,1076,KEN,Beatrice CHEBET,30:37.61,,F,10000M,0
2,972,ITA,Nadia BATTOCLETTI,30:38.23 NR,,F,10000M,0
3,796,ETH,Gudaf TSEGAY,30:39.65 SB,,F,10000M,0
4,1094,KEN,Agnes Jebet NGETICH,30:42.66,,F,10000M,0
5,794,ETH,Ejgayehu TAYE,30:55.52 SB,,F,10000M,0
6,1050,JPN,Ririka HIRONAKA,31:09.62,,F,10000M,0
7,1356,UGA,Joy CHEPTOYEK,31:15.03,,F,10000M,0
8,795,ETH,Fotyen TESFAY,31:21.67 SB,,F,10000M,0
9,546,AUS,Lauren RYAN,31:27.78,,F,10000M,0
10,866,GBR,Megan KEITH,31:33.85,,F,10000M,0
11,859,GBR,Calli HAUGER-THACKERY,31:37.81,,F,10000M,0
12,1388,USA,Elise CRANNY,31:40.07,,F,10000M,0
13,581,BEL,Jana VAN LENT,31:44.05,,F,10000M,0
14,1410,USA,Emily INFELD,31:47.65,,F,10000M,0
15,1277,SLO,Klara LUKAN,31:49.76,,F,10000M,0
16,1072,KAZ,Daisy JEPKEMEI,31:49.87,,F,10000M,0
17,510,AUS,Isobel BATT-DOYLE,31:53.41,,F,10000M,0
18,1441,USA,Taylor ROE,32:12.19,,F,10000M,0
19,1001,ITA,Elisa PALMERO,32:12.72,,F,10000M,0
20,1070,JPN,Mikuni YADA,32:28.94,,F,10000M,0
21,786,ETH,Tsigie GEBRESELAMA,32:33.73 SB,,F,10000M,0
22,567,BDI,Francine NIYOMUKUNZI,32:52.59,,F,10000M,0
23,890,GER,Eva DIETERICH,33:46.76,,F,10000M,0
24,603,BRA,Nubia DE OLIVEIRA SILVA,36:00.21,,F,10000M,0
,1354,UGA,Sarah CHELANGAT,DNF,,F,10000M,0
,1079,KEN,Janeth CHEPNGETICH,DNF,,F,10000M,0
,1353,UGA,Rebecca CHELANGAT,DNF,,F,10000M,0
1,2926,TAN,Alphonce Felix SIMBU,2:09:48 SB,,M,MARATHON,0
2,2423,GER,Amanal PETROS,2:09:48,,M,MARATHON,0
3,2503,ITA,Iliass AOUANI,2:09:53,,M,MARATHON,0
4,2497,ISR,Haimro ALAME,2:10:03,,M,MARATHON,0
5,2946,UGA,Abel CHELANGAT,2:10:11,,M,MARATHON,0
6,2510,ITA,Yohanes CHIAPPINELLI,2:10:15 SB,,M,MARATHON,0
7,2498,ISR,Gashau AYALE,2:10:27,,M,MARATHON,0
8,2264,ERI,Samsom AMARE,2:10:34,,M,MARATHON,0
9,3051,USA,Clayton YOUNG,2:10:43 SB,,M,MARATHON,0
10,3067,ZIM,Isaac MPOFU,2:10:46 SB,,M,MARATHON,0
11,2598,JPN,Ryota KONDO,2:10:53,,M,MARATHON,0
12,2161,CAN,Cameron LEVINS,2:11:07 SB,,M,MARATHON,0
13,2426,GER,Richard RINGER,2:11:14,,M,MARATHON,0
14,2916,SWE,Suldan HASSAN,2:11:18,,M,MARATHON,0
15,2952,UGA,Victor KIPLANGAT,2:11:33 SB,,M,MARATHON,0
16,2635,KEN,Kennedy KIMUTAI,2:11:45,,M,MARATHON,0
17,2088,BEL,Koen NAERT,2:12:52,,M,MARATHON,0
18,2003,ALG,Abderrazak CHARIK,2:13:06 SB,,M,MARATHON,0
19,2941,TUR,Kaan Kigen ÖZBILEN,2:13:27,,M,MARATHON,0
20,2689,MAR,Mohamed Reda EL AARABY,2:13:29,,M,MARATHON,0
21,2897,SUD,Yaseen ABDALLA,2:13:32 SB,,M,MARATHON,0
22,2654,KEN,Vincent Kipkemoi NGETICH,2:13:38,,M,MARATHON,0
23,2599,JPN,Naoki KOYAMA,2:13:42,,M,MARATHON,0
24,2489,IRL,Peter LYNCH,2:14:12,,M,MARATHON,0
25,2913,SWE,Ebba Tulu CHALA,2:14:40,,M,MARATHON,0
26,2184,CHN,Jie HE,2:14:52,,M,MARATHON,0
27,2267,ERI,Oqbe Kibrom RUESOM,2:15:01,,M,MARATHON,0
28,2991,USA,Reed FISCHER,2:15:17 SB,,M,MARATHON,0
29,2253,DEN,Jacob Sommer SIMONSEN,2:15:31 SB,,M,MARATHON,0
30,2205,CHN,Shaohui YANG,2:15:35,,M,MARATHON,0
31,2200,CHN,Xiangdong WU,2:16:01,,M,MARATHON,0
32,2968,URU,Cristhian ZAMORA,2:16:09 SB,,M,MARATHON,0
33,2855,RSA,Elroy GELANT,2:16:32,,M,MARATHON,0
34,2624,JPN,Yuya YOSHIDA,2:16:58 SB,,M,MARATHON,0
35,2159,CAN,Justin KENT,2:17:12,,M,MARATHON,0
36,2168,CAN,Ben PREISNER,2:17:32,,M,MARATHON,0
37,3054,UZB,Shokhrukh DAVLATOV,2:18:04 SB,,M,MARATHON,0
38,2119,BRA,Johnatas DE OLIVEIRA,2:18:22,,M,MARATHON,0
39,2018,ART,Kiruhura Emmanuel NTAGUNGA,2:19:11,,M,MARATHON,0
40,2969,USA,CJ ALBERTSON,2:19:25,,M,MARATHON,0
41,2017,ART,Omar HASSAN,2:19:47,,M,MARATHON,0
42,2825,POR,Rui PINTO,2:19:50,,M,MARATHON,0
43,2734,NED,Tom HENDRIKSE,2:19:57 SB,,M,MARATHON,0
44,2057,AUS,Tim VINCENT,2:20:12 SB,,M,MARATHON,0
45,2132,BRA,Paulo Roberto PAULA,2:20:18,,M,MARATHON,0
46,2265,ERI,Ablelom MARYO,2:20:46,,M,MARATHON,0
47,2001,ALG,Mohammed BENYETTOU,2:20:51 SB,,M,MARATHON,0
48,2704,MEX,Marcelo LAGUERA,2:20:56,,M,MARATHON,0
49,2765,NOR,Sondre Nordstad MOEN,2:21:22,,M,MARATHON,0
50,2793,POL,Mateusz KACZOR,2:21:51 SB,,M,MARATHON,0
51,2292,EST,Tiidrek NURME,2:21:58,,M,MARATHON,0
52,2059,AUT,Aaron GRUEN,2:22:07,,M,MARATHON,0
53,2925,TAN,Josephat Joshua GISEMO,2:22:47 SB,,M,MARATHON,0
54,2173,CHI,Hugo CATRILEO,2:23:29,,M,MARATHON,0
55,2940,TUR,Ilham Tanui ÖZBILEN,2:23:35,,M,MARATHON,0
56,2782,PER,Ferdinand CERECEDA,2:23:46 SB,,M,MARATHON,0
57,2026,AUS,Liam BOUDIN,2:24:39,,M,MARATHON,0
58,2712,MKD,Dario IVANOVSKI,2:26:31,,M,MARATHON,0
59,2222,CPV,Samuel FREIRE,2:27:26 SB,,M,MARATHON,0
60,2260,ECU,Segundo JAMI,2:28:07,,M,MARATHON,0
61,3068,ZIM,Tendai ZIMUTO,2:28:10,,M,MARATHON,0
62,2965,URU,Nicolás CUESTAS,2:28:37,,M,MARATHON,0
63,2138,BRA,Ederson VILELA PEREIRA,2:28:40,,M,MARATHON,0
64,2291,EST,Leonid LATSEPOV,2:29:59,,M,MARATHON,0
65,2709,MGL,Ser-Od BAT-OCHIR,2:30:09,,M,MARATHON,0
66,2701,MDA,Maxim RĂILEANU,2:32:15,,M,MARATHON,0
,2072,BDI,Therence BIZOZA,DNF,,M,MARATHON,0
,2255,DJI,Abdi WAISS,DNF,,M,MARATHON,0
,2297,ETH,Tesfaye DERIBA,DNF,,M,MARATHON,0
,2300,ETH,Deresa GELETA,DNF,,M,MARATHON,0
,2307,ETH,Tadese TAKELE,DNF,,M,MARATHON,0
,2364,GBR,Emile CAIRESS,DNF,,M,MARATHON,0
,2487,IRL,Hiko Tonosa HASO,DNF,,M,MARATHON,0
,2500,ISR,Maru TEFERI,DNF,,M,MARATHON,0
,2511,ITA,Yemaneberhan CRIPPA,DNF,,M,MARATHON,0
,2636,KEN,Hillary KIPKOECH,DNF,,M,MARATHON,0
,2667,KOR,Minho PARK,DNF,,M,MARATHON,0
,2688,MAR,Soufiyan BOUQANTAR,DNF,,M,MARATHON,0
,2692,MAR,Othmane EL GOUMRI,DNF,,M,MARATHON,0
,2706,MEX,Juan PACHECO,DNF,,M,MARATHON,0
,2710,MGL,Byambajav TSEVEENRAVDAN,DNF,,M,MARATHON,0
,2718,NAM,Daniel Nghidinwa PAULUS,DNF,,M,MARATHON,0
,2763,NOR,Zerei Kbrom MEZNGI,DNF,,M,MARATHON,0
,2783,PER,Rene CHAMPI,DNF,,M,MARATHON,0
,2882,RWA,Yves NIMUBONA,DNF,,M,MARATHON,0
,2937,TUR,Sezgin ATAÇ,DNF,,M,MARATHON,0
,2954,UGA,Stephen KISSA,DNF,,M,MARATHON,0
,2955,UGA,Solomon MUTAI,DNF,,M,MARATHON,0
,2254,DJI,Ibrahim HASSAN,DNS,,M,MARATHON,0
,2881,RWA,Felicien MUHITIRA,DNS,,M,MARATHON,0
1,1085,KEN,Peres JEPCHIRCHIR,2:24:43 SB,,F,MARATHON,0
2,781,ETH,Tigst ASSEFA,2:24:45,,F,MARATHON,0
3,1368,URU,Julia PATERNAIN,2:27:23,,F,MARATHON,0
4,1447,USA,Susanna SULLIVAN,2:28:17 SB,,F,MARATHON,0
5,819,FIN,Alisa VAINIO,2:28:32 SB,,F,MARATHON,0
6,610,BRN,Shitaye ESHETE,2:28:41,,F,MARATHON,0
7,1054,JPN,Kana KOBAYASHI,2:28:50,,F,MARATHON,0
8,1426,USA,Jessica MCCLAIN,2:29:20 SB,,F,MARATHON,0
9,960,IRL,Fionnuala MCCORMACK,2:30:16 SB,,F,MARATHON,0
10,748,ERI,Dolshi TESFU,2:30:41,,F,MARATHON,0
11,761,ESP,Laura LUENGO,2:30:55 SB,,F,MARATHON,0
12,1357,UGA,Stella CHESANG,2:31:13,,F,MARATHON,0
13,1062,JPN,Sayaka SATO,2:31:15,,F,MARATHON,0
14,660,CHN,Cuomu CIREN,2:31:38,,F,MARATHON,0
15,943,HUN,Nóra SZABÓ,2:31:41,,F,MARATHON,0
16,609,BRN,Eunice Chebichii CHUMBA,2:32:22,,F,MARATHON,0
17,1146,NED,Anne LUIJTEN,2:32:27,,F,MARATHON,0
18,1080,KEN,Jackline CHERONO,2:33:17,,F,MARATHON,0
19,1237,POR,Solange JESUS,2:33:24,,F,MARATHON,0
20,992,ITA,Rebecca LONEDO,2:33:40,,F,MARATHON,0
21,1191,PER,Sheyla EULOGIO PAUCAR,2:33:42,,F,MARATHON,0
22,669,CHN,Zhixuan LI,2:34:03,,F,MARATHON,0
23,969,ISR,Maor TIYOURI,2:34:28,,F,MARATHON,0
24,766,ESP,Fatima Azzahraa OUHADDOU NAFIE,2:35:05,,F,MARATHON,0
25,1128,MGL,Khishigsaikhan GALBADRAKH,2:35:05,,F,MARATHON,0
26,1241,POR,Susana SANTOS,2:35:06 SB,,F,MARATHON,0
27,790,ETH,Sutume Asefa KEBEDE,2:35:30,,F,MARATHON,0
28,1046,JPN,Yuka ANDO,2:35:37,,F,MARATHON,0
29,1097,KOR,Kyungsun CHOI,2:35:42,,F,MARATHON,0
30,681,CHN,Deshun ZHANG,2:35:58,,F,MARATHON,0
31,646,CAN,Natasha WODAK,2:36:02 SB,,F,MARATHON,0
32,849,FRA,Manon TRAPP,2:36:09,,F,MARATHON,0
33,554,AUT,Julia MAYER,2:36:20 SB,,F,MARATHON,0
34,1132,NAM,Alina ARMAS,2:36:33,,F,MARATHON,0
35,744,ECU,Silvia Patricia ORTIZ MOROCHO,2:37:22 SB,,F,MARATHON,0
36,1286,SSD,Atalena Napule Gaspore LOLIHA,2:38:18,,F,MARATHON,0
37,1098,KOR,Ye-jin LIM,2:38:31,,F,MARATHON,0
38,549,AUS,Vanessa WILSON,2:39:17 SB,,F,MARATHON,0
39,1197,POL,Aleksandra BRZEZIŃSKA,2:39:46,,F,MARATHON,0
40,1142,NED,Marcella HERZOG,2:39:57 SB,,F,MARATHON,0
41,1108,LES,Neheng KHATALA,2:41:16 SB,,F,MARATHON,0
42,532,AUS,Sarah KLEIN,2:41:46 SB,,F,MARATHON,0
43,733,DEN,Sara Schou KRISTENSEN,2:42:34 SB,,F,MARATHON,0
44,506,ARM,Nina USUBYAN,2:42:37,,F,MARATHON,0
45,1127,MGL,Munkhzaya BAYARTSOGT,2:42:43 SB,,F,MARATHON,0
46,743,ECU,Mary Zenaida GRANJA,2:43:02,,F,MARATHON,0
47,1125,MEX,Isabel OROPEZA,2:43:53 SB,,F,MARATHON,0
48,539,AUS,Tara PALM,2:44:51,,F,MARATHON,0
49,1352,UGA,Mercyline CHELANGAT,2:45:36 SB,,F,MARATHON,0
50,505,ARG,Chiara Milena MAINETTI,2:46:27,,F,MARATHON,0
51,1192,PER,Aydee LOAYZA,2:48:00,,F,MARATHON,0
52,1421,USA,Erika KEMP,2:50:35,,F,MARATHON,0
53,1462,ZIM,Fortunate CHIDZIVO,2:51:24,,F,MARATHON,0
54,1122,MAR,Rahma TAHIRI,2:51:30,,F,MARATHON,0
55,702,CRC,Diana BOGANTES,2:54:02 SB,,F,MARATHON,0
56,1179,NOR,Hanne Andersen MARIDAL,2:55:04 SB,,F,MARATHON,0
57,731,DEN,Karen EHRENREICH,2:57:07,,F,MARATHON,0
58,1269,RWA,Clementine MUKANDANGA,2:58:00 SB,,F,MARATHON,0
59,657,CHI,Nicole URRA,2:58:05,,F,MARATHON,0
60,1458,VEN,Magaly GARCIA,2:58:51,,F,MARATHON,0
61,1274,SLO,Anja FINK,2:59:31 SB,,F,MARATHON,0
62,1129,MKD,Adrijana POP ARSOVA RASHIKJ,3:01:48 SB,,F,MARATHON,0
63,1124,MEX,Margarita HERNANDEZ FLORES,3:02:26,,F,MARATHON,0
,611,BRN,Tigist GASHAW,DNF,,F,MARATHON,0
,726,CZE,Moira STEWARTOVÁ,DNF,,F,MARATHON,0
,791,ETH,Tigist KETEMA,DNF,,F,MARATHON,0
,968,ISR,Lonah Chemtai SALPETER,DNF,,F,MARATHON,0
,1091,KEN,Magdalyne MASAI,DNF,,F,MARATHON,0
,1118,MAR,Kaoutar FARKOUSSI,DNF,,F,MARATHON,0
,1119,MAR,Fatima Ezzahra GARDADI,DNF,,F,MARATHON,0
,1193,PER,Zaida RAMOS,DNF,,F,MARATHON,0
,1213,POL,Izabela PASZKIEWICZ,DNF,,F,MARATHON,0
,1350,UGA,Juliet CHEKWEL,DNF,,F,MARATHON,0
1,2771,NZL,Geordie BEAMISH,8:33.88,,M,3000M STEEPLECHASE,0
2,2691,MAR,Soufiane EL BAKKALI,8:33.95,,M,3000M STEEPLECHASE,0
3,2660,KEN,Edmund SEREM,8:34.56,,M,3000M STEEPLECHASE,0
4,2298,ETH,Samuel FIREWU,8:34.68,,M,3000M STEEPLECHASE,0
5,2687,MAR,Salaheddine BEN YAZIDE,8:35.16,,M,3000M STEEPLECHASE,0
6,2303,ETH,Lamecha GIRMA,8:35.60,,M,3000M STEEPLECHASE,0
7,2328,FRA,Nicolas-Marie DARU,8:35.77,,M,3000M STEEPLECHASE,0
8,2600,JPN,Ryuji MIURA,8:35.90,,M,3000M STEEPLECHASE,0
9,3022,USA,Daniel MICHALSKI,8:37.12,,M,3000M STEEPLECHASE,0
10,2685,LUX,Ruben QUERINJEAN,8:37.49,,M,3000M STEEPLECHASE,0
11,2934,TUN,Ahmed JAZIRI,8:39.30,,M,3000M STEEPLECHASE,0
12,2427,GER,Frederik RUPPERT,8:39.83,,M,3000M STEEPLECHASE,0
13,2153,CAN,Jean-Simon DESGAGNÉS,8:39.96,,M,3000M STEEPLECHASE,0
14,2309,ETH,Getnet WALE,8:41.23,,M,3000M STEEPLECHASE,0
15,2407,GER,Niklas BUCHHOLZ,8:42.81,,M,3000M STEEPLECHASE,0
,2634,KEN,Abraham KIBIWOT,DNF,,M,3000M STEEPLECHASE,0
1,1081,KEN,Faith CHEROTICH,8:51.59 CR,,F,3000M STEEPLECHASE,0
2,614,BRN,Winfred YAVI,8:56.46,,F,3000M STEEPLECHASE,0
3,780,ETH,Sembo ALMAYEW,8:58.86 PB,,F,3000M STEEPLECHASE,0
4,1341,TUN,Marwa BOUZAYANI,9:01.46 NR,,F,3000M STEEPLECHASE,0
5,1090,KEN,Doris LEMNGOLE,9:02.39,,F,3000M STEEPLECHASE,0
6,1073,KAZ,Norah JERUTO,9:06.34,,F,3000M STEEPLECHASE,0
7,905,GER,Gesa Felicitas KRAUSE,9:14.27 SB,,F,3000M STEEPLECHASE,0
8,793,ETH,Lomi MULETA,9:14.90,,F,3000M STEEPLECHASE,0
9,1435,USA,Angelina NAPOLEON,9:17.44,,F,3000M STEEPLECHASE,0
10,1428,USA,Kaylee MITCHELL,9:18.66,,F,3000M STEEPLECHASE,0
11,882,GBR,Elise THORNER,9:19.02,,F,3000M STEEPLECHASE,0
12,915,GER,Lea MEYER,9:24.42,,F,3000M STEEPLECHASE,0
13,845,FRA,Flavie RENOUARD,9:25.15,,F,3000M STEEPLECHASE,0
14,1402,USA,Lexy HALLADAY,9:34.03,,F,3000M STEEPLECHASE,0
,1355,UGA,Peruth CHEMUTAI,DNF,,F,3000M STEEPLECHASE,0
1,3041,USA,Cordell TINCH,12.99,0.168,M,110M HURDLES,0
